underlying,ts,bid,ask,spot,runbet_spot
frxAUDJPY,2014-04-29 16:21:16,95.017,95.067,95.042,95.042
frxAUDJPY,2014-04-29 16:21:17,95.036,95.048,95.041,95.041
frxAUDJPY,2014-04-29 16:21:18,95.03,95.056,95.042,95.042
frxAUDJPY,2014-04-29 16:21:19,95.034,95.05,95.041,95.041
frxAUDJPY,2014-04-29 16:21:20,95.024,95.055,95.039,95.039
frxAUDJPY,2014-04-29 16:21:21,95.036,95.043,95.039,95.039
frxAUDJPY,2014-04-29 16:21:22,95.032,95.044,95.038,95.038
frxAUDJPY,2014-04-29 16:21:23,95.037,95.046,95.044,95.044
frxAUDJPY,2014-04-29 16:21:24,95.03,95.055,95.041,95.041
frxAUDJPY,2014-04-29 16:21:25,95.036,95.046,95.043,95.043
frxAUDJPY,2014-04-29 16:21:26,95.036,95.048,95.042,95.042
frxAUDJPY,2014-04-29 16:21:27,95.036,95.047,95.041,95.041
frxAUDJPY,2014-04-29 16:21:28,95.036,95.048,95.042,95.042
frxAUDJPY,2014-04-29 16:21:30,95.029,95.054,95.041,95.041
frxAUDJPY,2014-04-29 16:21:31,95.034,95.048,95.041,95.041
frxAUDJPY,2014-04-29 16:21:32,95.03,95.05,95.04,95.04
frxAUDJPY,2014-04-29 16:21:33,95.033,95.05,95.043,95.043
frxAUDJPY,2014-04-29 16:21:34,95.038,95.045,95.042,95.042
frxAUDJPY,2014-04-29 16:21:35,95.03,95.05,95.04,95.04
frxAUDJPY,2014-04-29 16:21:36,95.036,95.049,95.042,95.042
frxAUDJPY,2014-04-29 16:21:37,95.034,95.05,95.041,95.041
frxAUDJPY,2014-04-29 16:21:38,95.033,95.047,95.04,95.04
frxAUDJPY,2014-04-29 16:21:40,95.036,95.048,95.041,95.041
frxAUDJPY,2014-04-29 16:21:41,95.025,95.056,95.041,95.041
frxAUDJPY,2014-04-29 16:21:42,95.033,95.051,95.041,95.041
frxAUDJPY,2014-04-29 16:21:43,95.031,95.052,95.042,95.042
frxAUDJPY,2014-04-29 16:21:44,95.01,95.11,95.052,95.052
frxAUDJPY,2014-04-29 16:21:45,95.035,95.049,95.042,95.042
frxAUDJPY,2014-04-29 16:21:46,95.048,95.064,95.055,95.055
frxAUDJPY,2014-04-29 16:21:47,95.047,95.068,95.057,95.057
frxAUDJPY,2014-04-29 16:21:48,95.054,95.066,95.059,95.059
frxAUDJPY,2014-04-29 16:21:49,95.052,95.068,95.059,95.059
frxAUDJPY,2014-04-29 16:21:50,95.053,95.064,95.058,95.058
frxAUDJPY,2014-04-29 16:21:51,95.048,95.067,95.058,95.058
frxAUDJPY,2014-04-29 16:21:52,95.047,95.072,95.058,95.058
frxAUDJPY,2014-04-29 16:21:53,95.049,95.065,95.057,95.057
frxAUDJPY,2014-04-29 16:21:54,95.05,95.066,95.058,95.058
frxAUDJPY,2014-04-29 16:21:55,95.05,95.064,95.056,95.056
frxAUDJPY,2014-04-29 16:21:56,95.044,95.069,95.056,95.056
frxAUDJPY,2014-04-29 16:21:57,95.044,95.063,95.055,95.055
frxAUDJPY,2014-04-29 16:21:58,95,95.1,95.052,95.052
frxAUDJPY,2014-04-29 16:21:59,95.051,95.064,95.057,95.057
frxAUDJPY,2014-04-29 16:22:00,95.049,95.062,95.056,95.056
frxAUDJPY,2014-04-29 16:22:01,95.054,95.061,95.057,95.057
frxAUDJPY,2014-04-29 16:22:02,95.045,95.07,95.056,95.056
frxAUDJPY,2014-04-29 16:22:03,95.053,95.061,95.056,95.056
frxAUDJPY,2014-04-29 16:22:04,95.049,95.063,95.056,95.056
frxAUDJPY,2014-04-29 16:22:05,95.044,95.07,95.056,95.056
frxAUDJPY,2014-04-29 16:22:06,95.046,95.057,95.051,95.051
frxAUDJPY,2014-04-29 16:22:07,95.038,95.064,95.051,95.051
frxAUDJPY,2014-04-29 16:22:08,95.041,95.057,95.049,95.049
frxAUDJPY,2014-04-29 16:22:09,95.046,95.059,95.051,95.051
frxAUDJPY,2014-04-29 16:22:11,95.034,95.066,95.05,95.05
frxAUDJPY,2014-04-29 16:22:12,95.042,95.059,95.05,95.05
frxAUDJPY,2014-04-29 16:22:13,95.038,95.06,95.049,95.049
frxAUDJPY,2014-04-29 16:22:14,95.043,95.058,95.05,95.05
frxAUDJPY,2014-04-29 16:22:15,95.043,95.057,95.05,95.05
frxAUDJPY,2014-04-29 16:22:16,95.043,95.052,95.048,95.048
frxAUDJPY,2014-04-29 16:22:17,95.043,95.053,95.047,95.047
